filename,width,height,class,xmin,ymin,xmax,ymax
ti01410757.jpg,754,1000,table,357,72,677,662
ti01410757.jpg,754,1000,table,290,73,357,475
ti01410757.jpg,754,1000,text,364,601,376,645
ti01410757.jpg,754,1000,text,365,365,375,422
ti01410757.jpg,754,1000,text,364,122,376,160.7
ti01410757.jpg,754,1000,text,654,298,672,397
ti10161372.jpg,754,1000,table,29,353,679,942
ti10161372.jpg,754,1000,text,102,400,527,460
ti10161372.jpg,754,1000,text,106,486,520,535
ti10161372.jpg,754,1000,text,569,494,642,508.6663
ti10161372.jpg,754,1000,text,105,524,523,623
ti10161372.jpg,754,1000,text,37,522,61,537
ti10161372.jpg,754,1000,text,36,470,72,481
ti10161372.jpg,754,1000,text,566,605,639,622
ti10161372.jpg,754,1000,text,105,646,511,671
ti10161372.jpg,754,1000,text,104,688,480,732
ti10161404.jpg,754,1000,table,30,341,680,941
ti10161404.jpg,754,1000,logo,45,118,317,184
ti10161422.jpg,754,1000,table,121,262,574,554
ti10161433.jpg,754,1000,logo,76,96,248,133
ti10161433.jpg,754,1000,text,74,213,298,281
ti10161457.jpg,754,1000,logo,41,125,233,171
ti10161457.jpg,754,1000,table,29,354,669,954
ti10161457.jpg,754,1000,text,114,596,530,737
ti10161457.jpg,754,1000,text,52,473,73,489
ti10161457.jpg,754,1000,text,49,745,67,766
ti10161457.jpg,754,1000,text,52,593,82,610
ti10161457.jpg,754,1000,text,122,406,520,436
ti10161457.jpg,754,1000,text,118,500,522,586
ti10161457.jpg,754,1000,text,117,770,526,813
ti10161484.jpg,754,1000,table,29,365,715,959
ti10161484.jpg,754,1000,logo,37,129,314,191
ti10161491.jpg,754,1000,logo,217,153,503,186
ti10161491.jpg,754,1000,table,29,397,685,949
ti10161592.jpg,754,1000,table,69,191,273,853
ti10161592.jpg,754,1000,text,89,748,105,808
ti10161592.jpg,754,1000,text,90,549,101,689
ti10161592.jpg,754,1000,text,91,207,108,320
ti10161592.jpg,754,1000,text,89,704,105,772
ti10161592.jpg,754,1000,text,41,779,51,837
ti10161630.jpg,754,1000,table,65,446,642,738
ti10161630.jpg,754,1000,text,68,534,462,589
ti10161630.jpg,754,1000,text,66,626,220,655.3333
ti10161630.jpg,754,1000,text,517,544,602,589
ti10161630.jpg,754,1000,text,513,670,606,684.6663
ti10161631.jpg,754,1000,table,70,485,671,753
ti11121470.jpg,754,1000,table,49.33,292,675.33,808
ti11492017.jpg,754,1000,table,89,254,562,542
ti11492017.jpg,754,1000,text,125,324,415,368
ti11492017.jpg,754,1000,text,506,296,556,314
ti11492017.jpg,754,1000,text,361,517,558,538
